[iter 0]: 4021188
[iter 12] Improved: 4021308
[iter 15] Improved: 4021310
[iter 16] Improved: 4021314
[iter 29] Improved: 4023097
[iter 33] Improved: 4023286
[iter 34] Improved: 4023446
[iter 45] Improved: 4023458
[iter 48] Improved: 4023460
[iter 49] Improved: 4023461
[iter 59] Improved: 4023467
[iter 71] Improved: 4024983
[iter 72] Improved: 4025015
[iter 92] Improved: 4025042
[iter 93] Improved: 4025109
[iter 98] Improved: 4025179
[iter 100] current best: 4025179
[iter 103] Improved: 4025429
[iter 109] Improved: 4025478
[iter 114] Improved: 4025482
[iter 124] Improved: 4025490
[iter 128] Improved: 4025496
[iter 131] Improved: 4025528
[iter 134] Improved: 4025738
[iter 159] Improved: 4025935
[iter 160] Improved: 4025953
[iter 163] Improved: 4025954
[iter 168] Improved: 4026024
[iter 179] Improved: 4026044
[iter 182] Improved: 4026380
[iter 193] Improved: 4026460
[iter 200] current best: 4026460
[iter 204] Improved: 4026502
[iter 205] Improved: 4026956
[iter 212] Improved: 4026966
[iter 217] Improved: 4027077
[iter 222] Improved: 4027089
[iter 234] Improved: 4027295
[iter 237] Improved: 4027608
[iter 243] Improved: 4027698
[iter 244] Improved: 4027706
[iter 251] Improved: 4027709
[iter 266] Improved: 4027710
[iter 295] Improved: 4027715
[iter 300] Improved: 4027831
[iter 300] current best: 4027831
[iter 311] Improved: 4027911
[iter 338] Improved: 4027973
[iter 344] Improved: 4028069
[iter 349] Improved: 4028088
[iter 355] Improved: 4028094
[iter 368] Improved: 4028104
[iter 387] Improved: 4028128
[iter 395] Improved: 4028133
[iter 400] current best: 4028133
[iter 409] Improved: 4028468
[iter 414] Improved: 4028469
[iter 415] Improved: 4028601
[iter 431] Improved: 4028602
[iter 434] Improved: 4028667
[iter 442] Improved: 4028670
[iter 463] Improved: 4028845
[iter 467] Improved: 4028846
[iter 480] Improved: 4029326
[iter 496] Improved: 4029327
[iter 500] current best: 4029327
[iter 510] Improved: 4029439
[iter 519] Improved: 4029565
[iter 524] Improved: 4029566
[iter 527] Improved: 4029568
[iter 537] Improved: 4029628
[iter 538] Improved: 4029637
[iter 544] Improved: 4029639
[iter 545] Improved: 4029667
[iter 553] Improved: 4029717
[iter 572] Improved: 4029765
[iter 573] Improved: 4029810
[iter 578] Improved: 4029811
[iter 586] Improved: 4029935
[iter 600] current best: 4029935
[iter 605] Improved: 4029938
[iter 607] Improved: 4030124
[iter 609] Improved: 4030228
[iter 611] Improved: 4030245
[iter 635] Improved: 4030441
[iter 637] Improved: 4030459
[iter 654] Improved: 4030506
[iter 655] Improved: 4030513
[iter 671] Improved: 4030518
[iter 684] Improved: 4030534
[iter 692] Improved: 4030546
[iter 700] current best: 4030546
[iter 715] Improved: 4030885
[iter 729] Improved: 4030935
[iter 731] Improved: 4031239
[iter 734] Improved: 4031451
[iter 739] Improved: 4031671
[iter 768] Improved: 4031673
[iter 777] Improved: 4031694
[iter 781] Improved: 4031739
[iter 786] Improved: 4031934
[iter 796] Improved: 4031957
[iter 798] Improved: 4032017
[iter 800] current best: 4032017
[iter 810] Improved: 4032385
[iter 824] Improved: 4032386
[iter 828] Improved: 4032387
[iter 830] Improved: 4032431
[iter 831] Improved: 4032433
[iter 842] Improved: 4032484
[iter 846] Improved: 4032919
[iter 854] Improved: 4032970
[iter 861] Improved: 4032973
[iter 867] Improved: 4033001
[iter 875] Improved: 4033034
[iter 882] Improved: 4033036
[iter 891] Improved: 4033040
[iter 896] Improved: 4033080
[iter 900] current best: 4033080
[iter 909] Improved: 4033125
[iter 910] Improved: 4033126
[iter 934] Improved: 4033316
[iter 941] Improved: 4033445
[iter 989] Improved: 4033446
[iter 997] Improved: 4033493
[iter 1000] current best: 4033493
[iter 1025] Improved: 4033523
[iter 1035] Improved: 4033524
[iter 1049] Improved: 4033576
[iter 1063] Improved: 4033709
[iter 1064] Improved: 4033811
[iter 1071] Improved: 4033816
[iter 1072] Improved: 4033818
[iter 1079] Improved: 4033905
[iter 1083] Improved: 4033995
[iter 1084] Improved: 4034031
[iter 1094] Improved: 4034036
[iter 1095] Improved: 4034042
[iter 1100] Improved: 4034112
[iter 1100] current best: 4034112
[iter 1107] Improved: 4034144
[iter 1122] Improved: 4034238
[iter 1138] Improved: 4034246
[iter 1185] Improved: 4034298
[iter 1188] Improved: 4034318
[iter 1198] Improved: 4034320
[iter 1200] current best: 4034320
[iter 1221] Improved: 4034328
[iter 1225] Improved: 4034330
[iter 1242] Improved: 4034335
[iter 1247] Improved: 4034339
[iter 1258] Improved: 4034415
[iter 1267] Improved: 4034431
[iter 1294] Improved: 4034461
[iter 1300] current best: 4034461
[iter 1305] Improved: 4034463
[iter 1365] Improved: 4034592
[iter 1371] Improved: 4034628
[iter 1383] Improved: 4034749
[iter 1391] Improved: 4034925
[iter 1399] Improved: 4034927
[iter 1400] current best: 4034927
[iter 1411] Improved: 4035018
[iter 1418] Improved: 4035121
[iter 1420] Improved: 4035125
[iter 1438] Improved: 4035127
[iter 1452] Improved: 4035129
[iter 1459] Improved: 4035316
[iter 1466] Improved: 4035537
[iter 1498] Improved: 4035705
[iter 1500] current best: 4035705
[iter 1504] Improved: 4035709
[iter 1520] Improved: 4035711
[iter 1529] Improved: 4035715
[iter 1545] Improved: 4035717
[iter 1567] Improved: 4035719
[iter 1576] Improved: 4035723
[iter 1598] Improved: 4035779
[iter 1600] current best: 4035779
[iter 1605] Improved: 4035857
[iter 1632] Improved: 4035861
[iter 1639] Improved: 4035961
[iter 1644] Improved: 4035981
[iter 1646] Improved: 4036066
[iter 1649] Improved: 4036180
[iter 1668] Improved: 4036257
[iter 1673] Improved: 4036262
[iter 1680] Improved: 4036266
[iter 1683] Improved: 4036337
[iter 1694] Improved: 4036338
[iter 1700] current best: 4036338
[iter 1710] Improved: 4036350
[iter 1727] Improved: 4036370
[iter 1731] Improved: 4036371
[iter 1732] Improved: 4036567
[iter 1756] Improved: 4036647
[iter 1766] Improved: 4036847
[iter 1780] Improved: 4036849
[iter 1800] current best: 4036849
[iter 1846] Improved: 4036857
[iter 1848] Improved: 4036883
[iter 1851] Improved: 4036910
[iter 1868] Improved: 4036978
[iter 1871] Improved: 4036979
[iter 1877] Improved: 4037015
[iter 1882] Improved: 4037034
[iter 1900] current best: 4037034
[iter 1904] Improved: 4037056
[iter 1910] Improved: 4037098
[iter 1917] Improved: 4037107
[iter 1924] Improved: 4037129
[iter 1928] Improved: 4037132
[iter 1942] Improved: 4037136
[iter 1948] Improved: 4037226
[iter 1958] Improved: 4037320
[iter 1975] Improved: 4037325
[iter 1983] Improved: 4037689
[iter 1996] Improved: 4037727
[iter 2000] current best: 4037727
[iter 2012] Improved: 4037843
[iter 2018] Improved: 4037895
[iter 2039] Improved: 4038219
[iter 2062] Improved: 4038397
[iter 2074] Improved: 4038737
[iter 2100] current best: 4038737
[iter 2113] Improved: 4038740
[iter 2123] Improved: 4038948
[iter 2152] Improved: 4039017
[iter 2163] Improved: 4039018
[iter 2164] Improved: 4039019
[iter 2165] Improved: 4039025
[iter 2175] Improved: 4039046
[iter 2182] Improved: 4039058
[iter 2186] Improved: 4039228
[iter 2188] Improved: 4039451
[iter 2190] Improved: 4039516
[iter 2200] current best: 4039516
[iter 2205] Improved: 4039541
[iter 2209] Improved: 4039555
[iter 2226] Improved: 4039615
[iter 2241] Improved: 4039629
[iter 2248] Improved: 4039630
[iter 2256] Improved: 4039632
[iter 2267] Improved: 4039682
[iter 2300] current best: 4039682
[iter 2316] Improved: 4039684
[iter 2336] Improved: 4039873
[iter 2355] Improved: 4039981
[iter 2391] Improved: 4040093
[iter 2393] Improved: 4040096
[iter 2400] current best: 4040096
[iter 2422] Improved: 4040098
[iter 2423] Improved: 4040103
[iter 2438] Improved: 4040242
[iter 2457] Improved: 4040243
[iter 2466] Improved: 4040391
[iter 2474] Improved: 4040550
[iter 2488] Improved: 4040553
[iter 2497] Improved: 4040554
[iter 2500] current best: 4040554
[iter 2503] Improved: 4040555
[iter 2519] Improved: 4040861
[iter 2522] Improved: 4040880
[iter 2523] Improved: 4040883
[iter 2547] Improved: 4041006
[iter 2580] Improved: 4041012
[iter 2600] current best: 4041012
